generation,v4_nodes,v4_action,v4_p_m,v4_p_s,v4_p_i,v5_nodes,v5_action,v5_p_m,v5_p_s,v5_p_i
1219,41,M,0.812,0.108,0.079,198,M,0.846,0.087,0.067
1220,41,M,0.843,0.091,0.066,198,M,0.838,0.063,0.099
1221,42,M,0.874,0.083,0.043,199,M,0.873,0.021,0.106
1222,42,M,0.845,0.047,0.108,199,M,0.914,0.039,0.047
1223,42,M,0.908,0.062,0.029,199,M,0.809,0.104,0.087
1224,42,M,0.809,0.074,0.117,200,M,0.862,0.077,0.061
1225,42,M,0.873,0.078,0.049,201,M,0.788,0.099,0.113
1226,42,S,0.099,0.832,0.069,200,S,0.105,0.856,0.038
1227,42,M,0.926,0.039,0.035,200,M,0.844,0.027,0.129
1228,42,I,0.104,0.057,0.839,200,I,0.047,0.057,0.895
1229,41,S,0.024,0.895,0.082,201,S,0.121,0.781,0.099
1230,42,M,0.789,0.096,0.114,202,M,0.837,0.045,0.117
1231,42,I,0.095,0.043,0.862,202,I,0.15,0.065,0.785
1232,41,M,0.849,0.054,0.097,202,M,0.834,0.092,0.074
1233,41,I,0.076,0.036,0.889,202,I,0.143,0.064,0.793
1234,42,M,0.845,0.057,0.097,203,M,0.886,0.088,0.026
1235,42,M,0.844,0.06,0.096,203,M,0.849,0.071,0.08
1236,42,S,0.118,0.814,0.068,203,S,0.065,0.844,0.091
1237,42,S,0.035,0.93,0.035,202,S,0.094,0.804,0.102
1238,42,M,0.792,0.093,0.115,204,I,0.126,0.127,0.747
1239,42,M,0.826,0.101,0.073,205,M,0.894,0.029,0.077
1240,42,M,0.908,0.052,0.04,203,M,0.878,0.088,0.034
1241,42,M,0.829,0.112,0.06,205,M,0.846,0.102,0.051
1242,42,M,0.882,0.095,0.023,205,M,0.836,0.057,0.107
1243,42,M,0.875,0.08,0.045,206,M,0.855,0.053,0.092
1244,41,I,0.11,0.114,0.776,204,I,0.068,0.065,0.867
1245,42,M,0.778,0.097,0.124,205,M,0.814,0.11,0.076
1246,42,M,0.917,0.025,0.058,205,M,0.814,0.072,0.114
1247,42,M,0.869,0.044,0.087,206,M,0.828,0.072,0.1
1248,42,M,0.882,0.076,0.042,206,M,0.862,0.086,0.052
1249,42,M,0.837,0.065,0.098,207,M,0.779,0.12,0.101
1250,42,M,0.845,0.031,0.124,206,M,0.829,0.109,0.062
1251,42,M,0.824,0.114,0.062,208,M,0.875,0.082,0.043
1252,42,M,0.85,0.095,0.055,207,M,0.841,0.111,0.047
1253,42,M,0.848,0.062,0.09,207,I,0.075,0.079,0.846
1254,43,S,0.083,0.895,0.023,208,S,0.029,0.861,0.11
1255,42,M,0.805,0.103,0.092,208,M,0.867,0.093,0.04
1256,42,M,0.809,0.081,0.11,209,I,0.098,0.043,0.858
1257,43,M,0.838,0.13,0.032,208,M,0.871,0.091,0.038
1258,43,M,0.926,0.024,0.05,209,M,0.823,0.091,0.086
1259,42,M,0.814,0.105,0.081,209,M,0.833,0.118,0.049
1260,42,M,0.898,0.061,0.041,209,M,0.894,0.025,0.081
1261,42,M,0.81,0.084,0.106,209,M,0.868,0.076,0.056
1262,43,M,0.873,0.06,0.068,211,M,0.9,0.022,0.078
1263,43,M,0.813,0.088,0.099,211,M,0.878,0.089,0.033
1264,42,S,0.111,0.827,0.062,210,S,0.113,0.825,0.063
1265,42,M,0.829,0.126,0.044,211,S,0.088,0.881,0.031
1266,43,M,0.854,0.033,0.113,212,M,0.83,0.109,0.062
1267,42,S,0.042,0.924,0.034,211,S,0.046,0.83,0.124
1268,43,I,0.112,0.084,0.804,213,I,0.047,0.045,0.909
1269,42,M,0.878,0.023,0.099,212,M,0.914,0.039,0.046
1270,43,S,0.116,0.779,0.106,213,S,0.043,0.916,0.041
1271,43,S,0.089,0.888,0.023,213,S,0.035,0.928,0.037
1272,43,M,0.8,0.072,0.128,213,M,0.866,0.06,0.074
1273,43,M,0.869,0.047,0.084,214,M,0.855,0.069,0.076
1274,43,M,0.844,0.113,0.043,213,M,0.842,0.083,0.075
1275,43,M,0.806,0.113,0.081,213,M,0.78,0.116,0.104
1276,43,M,0.795,0.103,0.102,215,M,0.836,0.117,0.047
1277,42,M,0.866,0.1,0.034,215,M,0.796,0.109,0.095
1278,43,S,0.115,0.796,0.089,215,S,0.118,0.813,0.069
1279,43,M,0.85,0.121,0.029,215,M,0.84,0.13,0.03
1280,43,M,0.857,0.097,0.046,214,M,0.858,0.113,0.029
1281,43,M,0.841,0.057,0.102,216,M,0.835,0.11,0.056
1282,43,M,0.82,0.116,0.065,215,M,0.795,0.102,0.103
1283,42,M,0.871,0.053,0.077,217,M,0.855,0.068,0.077
1284,43,M,0.901,0.064,0.035,216,M,0.811,0.092,0.096
1285,43,S,0.124,0.779,0.096,217,S,0.081,0.836,0.083
1286,43,M,0.833,0.072,0.095,217,M,0.828,0.122,0.05
1287,43,M,0.755,0.123,0.123,218,M,0.867,0.031,0.102
1288,43,S,0.096,0.817,0.087,218,S,0.072,0.866,0.062
1289,43,M,0.865,0.061,0.074,219,M,0.85,0.058,0.092
1290,43,S,0.058,0.835,0.107,219,S,0.052,0.868,0.08
1291,43,M,0.864,0.077,0.059,219,M,0.841,0.112,0.047
1292,44,M,0.842,0.038,0.12,218,M,0.859,0.054,0.087
1293,43,M,0.874,0.099,0.027,218,M,0.865,0.094,0.041
1294,43,M,0.773,0.108,0.119,218,M,0.845,0.067,0.088
1295,44,M,0.845,0.04,0.115,219,S,0.064,0.851,0.085
1296,43,I,0.026,0.084,0.89,219,I,0.122,0.051,0.827
1297,43,S,0.038,0.86,0.103,220,S,0.091,0.813,0.096
1298,44,S,0.026,0.936,0.038,220,S,0.044,0.896,0.06
1299,43,M,0.879,0.089,0.032,222,M,0.822,0.084,0.095
1300,44,M,0.847,0.041,0.112,222,M,0.877,0.083,0.04
1301,44,M,0.819,0.098,0.082,222,S,0.035,0.874,0.09
1302,43,M,0.849,0.065,0.086,222,M,0.841,0.111,0.048
1303,43,M,0.85,0.072,0.078,222,M,0.802,0.108,0.09
1304,44,M,0.844,0.054,0.102,222,M,0.814,0.11,0.076
1305,44,M,0.816,0.104,0.08,223,M,0.878,0.047,0.075
1306,43,S,0.097,0.871,0.032,224,S,0.047,0.873,0.08
1307,44,M,0.901,0.068,0.031,222,M,0.817,0.126,0.057
1308,43,M,0.827,0.093,0.08,223,M,0.882,0.082,0.036
1309,44,M,0.874,0.025,0.101,223,M,0.909,0.064,0.027
1310,44,M,0.87,0.054,0.076,223,M,0.927,0.031,0.042
1311,43,M,0.857,0.066,0.077,223,M,0.871,0.031,0.098
1312,43,M,0.933,0.025,0.042,224,M,0.935,0.041,0.024
1313,44,M,0.82,0.081,0.099,224,M,0.861,0.063,0.076
1314,44,M,0.895,0.075,0.031,225,M,0.876,0.035,0.089
1315,43,S,0.07,0.832,0.098,226,S,0.107,0.789,0.103
1316,44,M,0.809,0.109,0.082,225,M,0.909,0.049,0.042
1317,43,M,0.862,0.074,0.064,225,M,0.876,0.102,0.022
1318,44,M,0.85,0.074,0.076,226,M,0.856,0.032,0.112
1319,44,S,0.067,0.853,0.081,227,S,0.095,0.829,0.077
1320,44,M,0.866,0.071,0.064,227,M,0.898,0.077,0.024
1321,43,S,0.051,0.889,0.06,227,S,0.07,0.829,0.101
1322,44,S,0.105,0.798,0.097,227,S,0.049,0.859,0.091
1323,44,M,0.828,0.075,0.096,227,M,0.866,0.083,0.052
1324,44,M,0.911,0.041,0.047,228,M,0.871,0.034,0.095
1325,44,M,0.887,0.058,0.055,228,M,0.796,0.12,0.085
1326,44,M,0.891,0.058,0.052,228,M,0.825,0.061,0.114
1327,44,M,0.909,0.063,0.028,228,M,0.948,0.027,0.025
1328,44,M,0.82,0.107,0.073,228,M,0.843,0.076,0.08
1329,45,S,0.094,0.866,0.04,230,S,0.061,0.911,0.028
1330,44,S,0.128,0.846,0.026,229,S,0.061,0.884,0.055
1331,44,M,0.832,0.085,0.083,230,M,0.9,0.023,0.077
1332,45,M,0.851,0.115,0.035,230,M,0.85,0.084,0.067
1333,44,M,0.817,0.078,0.105,230,M,0.888,0.036,0.076
1334,44,S,0.093,0.874,0.032,231,S,0.098,0.862,0.04
1335,44,S,0.05,0.921,0.029,232,S,0.084,0.853,0.063
1336,44,M,0.84,0.051,0.108,232,M,0.927,0.043,0.029
1337,45,M,0.844,0.046,0.11,232,M,0.864,0.072,0.064
1338,45,M,0.855,0.097,0.048,233,M,0.82,0.094,0.086
1339,44,M,0.815,0.09,0.095,233,M,0.864,0.032,0.104
1340,45,M,0.85,0.114,0.036,234,M,0.816,0.062,0.123
1341,44,M,0.806,0.087,0.106,233,M,0.892,0.054,0.054
1342,44,M,0.789,0.081,0.13,234,M,0.817,0.112,0.071
1343,45,I,0.098,0.11,0.792,233,I,0.07,0.1,0.829
1344,44,M,0.854,0.079,0.067,234,M,0.884,0.075,0.042
1345,44,M,0.842,0.077,0.082,234,M,0.863,0.041,0.096
1346,45,S,0.103,0.794,0.103,234,S,0.089,0.887,0.024
1347,45,M,0.86,0.031,0.109,234,M,0.884,0.068,0.048
1348,44,M,0.88,0.068,0.052,235,M,0.908,0.053,0.038
1349,45,M,0.873,0.036,0.092,234,M,0.895,0.044,0.061
1350,45,M,0.819,0.095,0.086,237,M,0.815,0.085,0.1
1351,44,M,0.879,0.029,0.092,236,M,0.84,0.099,0.061
1352,45,M,0.828,0.049,0.123,236,M,0.924,0.039,0.037
1353,44,M,0.895,0.065,0.04,236,M,0.871,0.069,0.06
1354,44,M,0.802,0.11,0.088,237,M,0.907,0.027,0.066
1355,45,M,0.842,0.057,0.101,238,M,0.814,0.122,0.064
1356,45,M,0.854,0.034,0.112,238,M,0.932,0.044,0.024
1357,44,M,0.783,0.109,0.107,237,S,0.105,0.866,0.029
1358,45,M,0.836,0.076,0.089,239,S,0.05,0.923,0.027
1359,45,M,0.886,0.066,0.048,238,M,0.864,0.089,0.047
1360,45,M,0.799,0.09,0.112,238,M,0.818,0.069,0.113
1361,45,M,0.818,0.094,0.088,240,M,0.886,0.038,0.076
1362,45,M,0.837,0.064,0.099,239,M,0.797,0.098,0.105
1363,45,M,0.859,0.112,0.03,240,M,0.8,0.093,0.107
1364,45,M,0.901,0.058,0.041,240,M,0.9,0.028,0.072
1365,45,S,0.09,0.822,0.088,241,S,0.079,0.811,0.11
1366,45,M,0.863,0.07,0.066,241,M,0.841,0.033,0.126
1367,45,M,0.807,0.082,0.111,241,M,0.885,0.059,0.056
1368,45,S,0.055,0.859,0.086,241,S,0.111,0.835,0.054
1369,45,M,0.85,0.083,0.066,242,M,0.862,0.078,0.06
1370,45,M,0.836,0.098,0.066,242,M,0.841,0.073,0.086
1371,45,M,0.886,0.037,0.077,242,M,0.822,0.121,0.057
1372,45,M,0.921,0.055,0.024,243,M,0.843,0.086,0.071
1373,46,M,0.846,0.058,0.095,242,M,0.871,0.044,0.085
1374,45,S,0.088,0.843,0.069,244,S,0.078,0.838,0.084
1375,46,M,0.814,0.118,0.068,244,M,0.945,0.025,0.03
1376,45,I,0.049,0.134,0.817,244,I,0.035,0.055,0.91
1377,46,S,0.093,0.8,0.107,244,S,0.07,0.826,0.104
1378,45,M,0.902,0.048,0.05,244,M,0.801,0.082,0.117
1379,45,S,0.038,0.901,0.061,244,S,0.036,0.904,0.06
1380,46,M,0.932,0.022,0.046,244,M,0.835,0.055,0.11
1381,45,M,0.874,0.05,0.076,246,M,0.813,0.109,0.078
1382,45,M,0.807,0.089,0.105,245,M,0.905,0.055,0.04
1383,45,M,0.808,0.12,0.071,246,M,0.823,0.084,0.093
1384,45,M,0.838,0.043,0.12,246,M,0.928,0.035,0.037
1385,45,M,0.854,0.087,0.059,247,M,0.869,0.076,0.055
1386,45,M,0.873,0.095,0.032,246,M,0.891,0.058,0.052
1387,46,M,0.862,0.087,0.05,246,M,0.868,0.029,0.102
1388,45,M,0.888,0.074,0.038,248,M,0.826,0.103,0.071
1389,45,M,0.869,0.073,0.057,248,M,0.795,0.112,0.093
1390,46,M,0.882,0.068,0.05,248,M,0.831,0.1,0.069
1391,45,S,0.039,0.907,0.053,249,S,0.108,0.772,0.12
1392,46,M,0.879,0.068,0.053,249,M,0.8,0.108,0.092
1393,45,M,0.855,0.086,0.06,248,M,0.853,0.069,0.079
1394,46,M,0.838,0.06,0.102,249,M,0.808,0.086,0.106
1395,46,M,0.856,0.068,0.076,249,M,0.868,0.099,0.033
1396,46,S,0.082,0.865,0.052,249,I,0.039,0.061,0.9
1397,46,M,0.889,0.027,0.084,249,M,0.827,0.075,0.099
1398,46,M,0.868,0.11,0.022,251,M,0.794,0.104,0.102
1399,46,S,0.036,0.847,0.117,251,S,0.045,0.924,0.031
1400,46,M,0.868,0.09,0.041,251,M,0.855,0.108,0.037
1401,46,I,0.096,0.058,0.845,250,I,0.03,0.032,0.939
1402,46,M,0.84,0.057,0.104,252,M,0.856,0.054,0.09
1403,46,S,0.08,0.834,0.086,252,S,0.046,0.86,0.094
1404,46,M,0.905,0.033,0.062,253,S,0.064,0.852,0.085
1405,46,S,0.029,0.887,0.084,252,I,0.081,0.078,0.841
1406,46,S,0.058,0.875,0.067,253,S,0.034,0.889,0.077
1407,46,S,0.076,0.808,0.116,254,S,0.053,0.813,0.134
1408,46,S,0.063,0.821,0.116,253,S,0.033,0.87,0.096
1409,46,M,0.828,0.106,0.066,254,I,0.098,0.116,0.787
1410,47,M,0.822,0.11,0.068,255,M,0.853,0.093,0.054
1411,46,M,0.904,0.04,0.057,255,M,0.855,0.066,0.079
1412,46,I,0.03,0.065,0.904,254,I,0.089,0.033,0.878
1413,46,M,0.894,0.08,0.025,255,M,0.954,0.023,0.023
1414,47,I,0.047,0.048,0.906,255,I,0.034,0.066,0.9
1415,47,M,0.86,0.025,0.115,256,M,0.83,0.085,0.085
1416,46,M,0.878,0.093,0.029,256,M,0.865,0.035,0.099
1417,46,M,0.804,0.087,0.109,256,M,0.901,0.051,0.048
1418,46,M,0.862,0.093,0.046,256,M,0.852,0.119,0.029
1419,46,M,0.831,0.068,0.101,257,M,0.933,0.04,0.027
1420,47,M,0.783,0.129,0.087,257,M,0.874,0.098,0.028
1421,46,M,0.851,0.035,0.115,257,M,0.924,0.041,0.035
1422,46,S,0.043,0.844,0.113,257,S,0.105,0.806,0.089
1423,47,M,0.871,0.073,0.056,257,S,0.128,0.825,0.046
1424,47,M,0.924,0.036,0.04,259,M,0.86,0.028,0.112
1425,47,S,0.12,0.813,0.066,258,S,0.094,0.818,0.088
1426,46,M,0.813,0.074,0.114,258,M,0.85,0.057,0.093
1427,46,M,0.82,0.107,0.074,259,M,0.84,0.059,0.101
1428,47,M,0.811,0.115,0.074,260,M,0.893,0.074,0.033
1429,47,M,0.886,0.083,0.031,260,M,0.843,0.072,0.085
1430,46,M,0.809,0.093,0.099,260,M,0.813,0.109,0.077
1431,47,M,0.796,0.127,0.077,262,M,0.863,0.08,0.057
1432,46,S,0.092,0.798,0.11,262,S,0.062,0.825,0.113
1433,46,M,0.85,0.068,0.082,261,M,0.828,0.073,0.099
1434,46,M,0.829,0.091,0.079,261,M,0.823,0.067,0.11
1435,47,M,0.864,0.024,0.112,262,M,0.868,0.104,0.028
1436,47,S,0.109,0.778,0.114,262,S,0.105,0.857,0.038
1437,47,M,0.836,0.08,0.084,263,M,0.885,0.035,0.08
1438,46,M,0.847,0.045,0.108,262,M,0.87,0.069,0.061
1439,47,S,0.027,0.937,0.036,263,S,0.093,0.816,0.091
1440,46,M,0.928,0.051,0.021,263,M,0.918,0.024,0.057
1441,47,M,0.908,0.04,0.052,264,M,0.843,0.133,0.024
1442,46,M,0.803,0.086,0.111,263,M,0.804,0.134,0.062
1443,47,M,0.869,0.057,0.074,265,M,0.901,0.056,0.043
1444,46,S,0.126,0.812,0.062,265,S,0.092,0.83,0.078
1445,47,I,0.152,0.059,0.789,265,I,0.109,0.086,0.805
1446,47,M,0.915,0.061,0.024,265,M,0.873,0.085,0.042
1447,47,M,0.901,0.062,0.037,265,M,0.861,0.103,0.035
1448,47,M,0.791,0.105,0.104,266,M,0.824,0.122,0.055
1449,47,M,0.853,0.081,0.066,267,M,0.827,0.083,0.09
1450,47,M,0.836,0.129,0.036,267,M,0.927,0.045,0.028
1451,47,S,0.083,0.838,0.079,267,S,0.043,0.839,0.118
1452,47,M,0.822,0.101,0.077,268,M,0.834,0.087,0.079
1453,47,M,0.803,0.101,0.096,267,M,0.845,0.05,0.105
1454,48,M,0.922,0.04,0.038,268,M,0.866,0.086,0.048
1455,47,M,0.905,0.074,0.021,269,M,0.877,0.03,0.093
1456,47,M,0.831,0.065,0.104,269,M,0.933,0.031,0.036
1457,48,M,0.866,0.03,0.104,268,M,0.88,0.025,0.095
1458,47,M,0.882,0.031,0.087,270,M,0.821,0.099,0.079
1459,47,M,0.879,0.044,0.076,269,M,0.816,0.11,0.074
1460,48,M,0.849,0.087,0.064,270,M,0.866,0.027,0.107
1461,47,S,0.085,0.866,0.049,271,S,0.039,0.897,0.065
1462,47,M,0.837,0.09,0.073,270,M,0.84,0.134,0.026
1463,47,M,0.846,0.121,0.033,271,M,0.842,0.063,0.094
1464,47,M,0.878,0.094,0.028,271,M,0.819,0.072,0.109
1465,48,M,0.786,0.111,0.103,272,M,0.833,0.122,0.045
1466,48,M,0.811,0.101,0.087,273,M,0.804,0.113,0.083
1467,48,M,0.827,0.077,0.097,272,M,0.909,0.05,0.041
1468,47,M,0.86,0.094,0.046,272,M,0.844,0.111,0.045
1469,47,S,0.036,0.863,0.101,272,S,0.107,0.824,0.068
1470,47,M,0.81,0.077,0.112,273,M,0.812,0.109,0.079
1471,47,M,0.879,0.051,0.07,273,M,0.851,0.06,0.089
1472,48,S,0.066,0.892,0.042,273,S,0.065,0.836,0.099
1473,48,M,0.826,0.053,0.121,275,M,0.818,0.125,0.057
1474,47,M,0.911,0.04,0.049,275,M,0.893,0.068,0.039
1475,48,M,0.838,0.096,0.065,275,M,0.851,0.031,0.119
1476,48,S,0.081,0.846,0.073,275,S,0.104,0.836,0.061
1477,47,M,0.871,0.062,0.067,275,M,0.826,0.092,0.082
1478,48,M,0.86,0.077,0.063,275,M,0.859,0.052,0.089
1479,48,M,0.906,0.057,0.037,275,M,0.851,0.106,0.044
1480,48,I,0.121,0.05,0.829,277,I,0.11,0.089,0.801
1481,48,S,0.067,0.88,0.053,276,M,0.912,0.035,0.053
1482,48,I,0.054,0.14,0.805,276,M,0.821,0.062,0.117
1483,48,M,0.897,0.027,0.077,276,M,0.812,0.1,0.088
1484,48,S,0.025,0.882,0.093,277,S,0.071,0.876,0.053
1485,48,M,0.871,0.048,0.081,278,M,0.914,0.024,0.062
1486,48,M,0.884,0.032,0.084,277,M,0.893,0.069,0.038
1487,48,M,0.851,0.026,0.123,279,M,0.891,0.037,0.072
1488,48,S,0.116,0.838,0.046,278,S,0.081,0.824,0.095
1489,48,M,0.938,0.03,0.033,279,S,0.085,0.807,0.108
1490,48,M,0.878,0.048,0.074,279,M,0.924,0.039,0.037
1491,48,M,0.785,0.113,0.103,279,M,0.842,0.035,0.123
1492,48,S,0.071,0.851,0.077,280,S,0.047,0.842,0.111
1493,48,M,0.895,0.024,0.081,281,M,0.922,0.044,0.034
1494,48,M,0.829,0.06,0.112,280,M,0.836,0.129,0.036
1495,48,S,0.039,0.897,0.064,280,S,0.1,0.828,0.072
1496,48,M,0.87,0.05,0.079,282,M,0.774,0.117,0.108
1497,48,S,0.11,0.781,0.109,282,S,0.072,0.903,0.025
1498,48,M,0.92,0.044,0.037,282,M,0.906,0.067,0.026
1499,48,M,0.86,0.027,0.113,283,M,0.863,0.088,0.048
1500,48,M,0.863,0.091,0.046,283,M,0.794,0.11,0.096
1501,49,M,0.868,0.057,0.075,284,M,0.837,0.089,0.074
1502,48,M,0.864,0.059,0.077,282,M,0.809,0.088,0.103
1503,48,M,0.831,0.097,0.072,283,M,0.85,0.1,0.05
1504,49,I,0.094,0.058,0.848,284,I,0.065,0.083,0.852
1505,48,M,0.84,0.041,0.12,283,M,0.843,0.069,0.089
1506,48,M,0.845,0.076,0.078,284,M,0.857,0.085,0.059
1507,48,M,0.778,0.105,0.117,284,M,0.864,0.028,0.108
1508,48,M,0.895,0.062,0.044,285,M,0.861,0.06,0.08
1509,49,M,0.894,0.079,0.027,285,I,0.064,0.12,0.816
1510,48,M,0.909,0.066,0.026,287,M,0.885,0.045,0.07
1511,48,M,0.881,0.032,0.087,285,M,0.785,0.094,0.12
1512,49,S,0.036,0.89,0.074,287,S,0.083,0.862,0.054
1513,49,M,0.876,0.096,0.028,287,M,0.906,0.032,0.062
1514,49,M,0.866,0.106,0.028,287,M,0.871,0.075,0.054
1515,49,S,0.044,0.871,0.085,287,S,0.106,0.833,0.061
1516,49,M,0.881,0.075,0.045,288,M,0.949,0.028,0.023
1517,49,S,0.031,0.922,0.047,288,M,0.871,0.105,0.024
1518,49,M,0.892,0.073,0.035,288,M,0.826,0.123,0.051
1519,48,M,0.883,0.055,0.062,289,M,0.858,0.033,0.109
1520,49,M,0.864,0.06,0.075,290,M,0.907,0.027,0.067
1521,48,M,0.796,0.118,0.086,290,M,0.838,0.06,0.102
1522,49,M,0.922,0.052,0.026,289,M,0.848,0.044,0.109
1523,49,M,0.793,0.101,0.106,291,M,0.816,0.084,0.1
1524,49,M,0.89,0.03,0.081,290,M,0.847,0.051,0.102
1525,49,S,0.093,0.809,0.098,292,S,0.099,0.86,0.04
1526,49,M,0.822,0.07,0.108,291,M,0.917,0.05,0.034
1527,49,M,0.831,0.098,0.072,292,I,0.11,0.096,0.794
1528,49,I,0.051,0.034,0.916,291,I,0.089,0.123,0.788
1529,49,M,0.779,0.094,0.127,292,M,0.844,0.109,0.047
1530,49,I,0.086,0.031,0.883,291,I,0.104,0.13,0.766
1531,49,M,0.855,0.047,0.098,293,M,0.822,0.093,0.085
1532,49,M,0.791,0.088,0.121,294,M,0.852,0.033,0.115
1533,49,M,0.81,0.087,0.103,294,M,0.857,0.082,0.061
1534,49,I,0.069,0.09,0.841,293,I,0.094,0.026,0.879
1535,49,M,0.84,0.041,0.118,294,M,0.808,0.083,0.109
1536,49,M,0.81,0.096,0.094,294,I,0.076,0.025,0.9
1537,49,M,0.942,0.028,0.03,296,M,0.848,0.085,0.067
1538,49,M,0.845,0.046,0.109,296,M,0.854,0.089,0.057
1539,50,M,0.815,0.093,0.092,295,M,0.856,0.07,0.074
1540,49,M,0.886,0.048,0.067,297,M,0.886,0.028,0.086
1541,49,M,0.872,0.101,0.027,295,M,0.844,0.074,0.083
1542,49,S,0.101,0.792,0.106,296,S,0.038,0.862,0.1
1543,49,M,0.89,0.038,0.072,297,M,0.832,0.083,0.085
1544,49,M,0.793,0.114,0.093,296,M,0.84,0.12,0.04
1545,49,M,0.779,0.112,0.11,298,M,0.898,0.043,0.06
1546,49,M,0.796,0.105,0.099,299,M,0.862,0.073,0.065
1547,49,S,0.111,0.852,0.036,298,S,0.042,0.839,0.119
1548,50,M,0.863,0.095,0.042,298,M,0.942,0.025,0.033
1549,50,S,0.091,0.814,0.095,299,S,0.083,0.814,0.103
1550,50,M,0.872,0.038,0.09,299,M,0.844,0.081,0.075
1551,50,M,0.891,0.022,0.087,299,M,0.883,0.073,0.044
1552,49,S,0.085,0.802,0.114,301,S,0.103,0.789,0.109
1553,50,S,0.114,0.794,0.091,301,S,0.127,0.805,0.068
1554,50,M,0.84,0.112,0.047,301,M,0.833,0.11,0.056
1555,50,M,0.907,0.069,0.024,300,M,0.89,0.083,0.027
1556,49,M,0.815,0.086,0.099,301,M,0.824,0.095,0.081
1557,49,M,0.829,0.056,0.115,301,M,0.808,0.112,0.079
1558,50,M,0.863,0.023,0.114,302,M,0.866,0.104,0.03
1559,49,M,0.874,0.042,0.084,303,M,0.801,0.066,0.133
1560,50,M,0.798,0.097,0.105,303,M,0.857,0.048,0.095
1561,50,S,0.08,0.894,0.025,302,S,0.1,0.851,0.05
1562,49,M,0.836,0.045,0.119,303,M,0.846,0.058,0.096
1563,50,S,0.126,0.775,0.098,303,S,0.075,0.885,0.041
1564,50,S,0.044,0.909,0.047,303,S,0.034,0.926,0.04
1565,50,I,0.081,0.083,0.836,305,I,0.127,0.026,0.847
1566,50,M,0.826,0.12,0.053,305,M,0.812,0.083,0.105
1567,50,M,0.852,0.103,0.045,304,M,0.892,0.085,0.023
1568,50,M,0.851,0.084,0.065,305,M,0.879,0.05,0.071
1569,50,M,0.86,0.032,0.108,306,M,0.825,0.1,0.075
1570,50,I,0.074,0.055,0.871,306,I,0.141,0.071,0.788
1571,50,M,0.88,0.073,0.047,307,M,0.835,0.057,0.109
1572,50,M,0.823,0.088,0.089,306,M,0.813,0.095,0.091
1573,50,M,0.924,0.039,0.038,306,M,0.81,0.091,0.099
1574,50,M,0.879,0.048,0.073,307,M,0.903,0.064,0.034
1575,50,S,0.054,0.813,0.132,308,S,0.05,0.867,0.083
1576,51,M,0.861,0.078,0.061,307,M,0.832,0.053,0.114
1577,50,M,0.846,0.077,0.077,309,M,0.85,0.023,0.127
1578,50,M,0.847,0.115,0.038,309,M,0.933,0.023,0.043
1579,50,M,0.845,0.065,0.09,309,M,0.888,0.079,0.033
1580,50,M,0.89,0.05,0.059,309,M,0.803,0.086,0.111
1581,50,I,0.06,0.076,0.864,309,I,0.105,0.124,0.772
1582,50,M,0.801,0.118,0.082,310,M,0.868,0.084,0.048
1583,50,M,0.851,0.047,0.101,310,M,0.817,0.102,0.081
1584,50,M,0.912,0.047,0.041,311,M,0.853,0.08,0.068
1585,50,S,0.089,0.859,0.052,311,S,0.063,0.815,0.122
1586,51,M,0.858,0.097,0.045,312,M,0.925,0.038,0.037
1587,50,M,0.816,0.107,0.077,311,M,0.858,0.052,0.09
1588,50,M,0.885,0.061,0.054,313,M,0.847,0.029,0.125
1589,50,M,0.834,0.101,0.065,312,M,0.871,0.089,0.039
1590,51,M,0.828,0.112,0.06,313,M,0.914,0.024,0.062
1591,51,M,0.833,0.109,0.058,312,M,0.851,0.112,0.038
1592,51,M,0.867,0.047,0.087,312,M,0.825,0.101,0.074
1593,50,M,0.861,0.097,0.042,313,M,0.829,0.078,0.093
1594,51,M,0.819,0.088,0.093,315,M,0.876,0.043,0.081
1595,51,M,0.795,0.125,0.079,315,M,0.77,0.119,0.111
1596,50,M,0.912,0.053,0.035,315,M,0.875,0.055,0.07
1597,50,M,0.879,0.033,0.088,315,M,0.916,0.058,0.026
1598,51,M,0.828,0.068,0.104,315,M,0.773,0.108,0.119
1599,51,M,0.798,0.08,0.122,316,M,0.808,0.096,0.096
1600,51,M,0.842,0.118,0.04,317,M,0.888,0.06,0.053
1601,51,S,0.074,0.841,0.085,316,S,0.107,0.8,0.094
1602,50,M,0.828,0.084,0.088,317,M,0.907,0.069,0.024
1603,51,M,0.771,0.114,0.116,317,S,0.108,0.814,0.078
1604,51,S,0.076,0.821,0.103,317,S,0.078,0.827,0.095
1605,51,M,0.851,0.048,0.101,317,M,0.912,0.052,0.036
1606,51,M,0.802,0.097,0.101,318,M,0.801,0.131,0.069
1607,51,S,0.047,0.887,0.067,319,S,0.088,0.887,0.025
1608,51,M,0.81,0.085,0.104,319,M,0.798,0.102,0.1
1609,51,M,0.832,0.089,0.08,320,M,0.875,0.068,0.057
1610,51,M,0.89,0.053,0.057,319,M,0.781,0.113,0.106
1611,51,M,0.856,0.116,0.028,320,M,0.817,0.106,0.077
1612,51,M,0.87,0.031,0.099,320,M,0.855,0.076,0.069
1613,51,M,0.8,0.121,0.079,320,M,0.841,0.07,0.089
1614,51,M,0.861,0.042,0.098,321,M,0.831,0.068,0.101
1615,51,M,0.898,0.072,0.03,322,M,0.915,0.021,0.064
1616,51,M,0.862,0.107,0.031,322,I,0.039,0.109,0.852
